ngram,frequency
ddosdong and,1
and sarem,1
sarem 2020,2
2020 dalam,2
dalam metode,4
metode mereka,1
mereka enam,1
enam nilai,1
nilai fitur,1
fitur diperkenalkan,1
diperkenalkan hasil,1
hasil eksperimen,6
eksperimen mereka,1
mereka menunjukkan,1
menunjukkan tingkat,2
tingkat alarm,2
alarm palsu,2
palsu yang,13
yang rendah,8
rendah untuk,2
untuk trafik,1
trafik tcp,1
tcp dan,1
dan udp,1
udp tetapi,1
tetapi tingkat,1
palsu trafik,1
trafik icmp,1
icmp tinggi,1
tinggi mengusulkan,1
mengusulkan mekanisme,1
mekanisme menggunakan,1
klasifikasi cognitiveinspired,1
cognitiveinspired computing,1
computing cic,1
cic dan,1
ddos sementara,1
sementara itu,8
itu akurasi,1
akurasi pendeteksiannya,1
pendeteksiannya masih,1
masih perlu,2
perlu ditingkatkan,5
ditingkatkan lagi,2
lagi berdasarkan,1
berdasarkan dari,2
dari konsep,2
konsep penelitian,1
ini algoritma,2
algoritma pendeteksian,1
pendeteksian yang,1
yang disebut,11
disebut algorithm,1
based in,1
in the,78
of attack,1
attack ddada,1
ddada diusulkan,1
diusulkan selain,1
itu untuk,6
untuk lebih,6
lebih meningkatkan,1
meningkatkan efisiensi,6
efisiensi deteksi,1
deteksi algoritma,1
algoritma deteksi,1
deteksi lain,1
disebut algoritma,1
algoritma ddos,1
ddos detection,3
detection algorithm,1
on machine,3
learning ddaml,1
ddaml diperkenalkan,1
diperkenalkan untuk,1
untuk mengindentifikasi,1
mengindentifikasi serangan,2
ddos hasil,1
eksperimen menunjukkan,4
bahwa algoritma,10
yang diusulkan,12
diusulkan dapat,3
dapat mengindentifikasi,1
ddos dengan,1
dengan lebih,6
baik dan,56
dan telah,4
telah mencapai,3
mencapai tingkat,3
tingkat deteksi,1
deteksi yang,1
lebih tinggi,27
tinggi dibandingkan,4
dibandingkan dengan,44
dengan solusi,1
solusi yang,11
yang ada,115
ada hasil,1
algoritma ddaml,1
ddaml dapat,1
dapat mengungguli,1
mengungguli algoritma,2
algoritma lain,1
lain pada,1
pada pengukuran,1
pengukuran kinerja,1
berbeda classification,1
classification method,2
method of,5
of teaching,2
teaching resources,2
resources based,2
knn algorithm,5
algorithm pemodelan,1
pemodelan kinerja,1
kinerja personel,1
personel manufaktur,1
manufaktur berdasarkan,1
berdasarkan algoritma,1
ditingkatkan sejak,1
sejak itu,1
banyak ahli,1
ahli dan,2
dan peneliti,2
hasil penelitian,70
penelitian tertentu,1
tertentu di,1
di bidang,19
bidang teknologi,2
teknologi ini,5
ini seperti,4
seperti ilmuwan,1
ilmuwan intelijen,1
intelijen terkenal,1
terkenal spark,1
spark dan,1
dan salton,1
salton sejak,1
sejak 1980an,1
1980an teknik,1
teknik rekayasa,3
rekayasa pengetahuan,1
pengetahuan tradisional,1
tradisional telah,2
diterapkan di,2
bidang ini,3
ini menurut,3
menurut pengetahuan,1
pengetahuan yang,12
yang diberikan,12
diberikan oleh,6
oleh para,5
para ahli,4
ahli aturan,1
aturan dibentuk,1
dibentuk dan,1
dan pengklasifikasi,2
pengklasifikasi dibuat,1
dibuat secara,1
secara manual,4
manual ini,1
adalah klasifikasi,3
baik di,18
di beberapa,6
beberapa korpora,1
korpora namun,1
namun dalam,2
dalam menghadapi,4
menghadapi kumpulan,1
besar metodenya,1
metodenya terbatas,1
terbatas proses,1
proses preprocessing,2
preprocessing teks,1
teks ditingkatkan,1
ditingkatkan dengan,1
dengan strategi,2
strategi yang,6
diusulkan menggunakan,1
knn tujuan,1
tujuan pada,1
pada masalah,3
masalah algoritma,1
tradisional dalam,7
dalam klasifikasi,10
klasifikasi sumber,2
sumber daya,138
daya pengajaran,1
pengajaran di,1
di sekolah,16
sekolah dasar,4
dasar dan,10
dan menengah,1
menengah maka,1
maka diusulkan,1
diusulkan algoritma,2
baik jurnal,1
40 135,1
135 berdasarkan,1
tailoring sampel,1
sampel daerah,1
daerah dengan,2
dengan kepadatan,1
kepadatan tinggi,1
tinggi di,7
di ruang,10
ruang sampe,1
sampe dipotong,1
dipotong sebelum,1
sebelum algoritma,1
knn dijalankan,1
dijalankan masalah,1
masalah kesalahan,1
kesalahan klasifikasi,2
klasifikasi disebabkan,1
disebabkan oleh,19
oleh distribusi,1
distribusi kepadatan,1
kepadatan spasial,1
spasial sampel,1
sampel yang,5
yang tidak,146
tidak merata,1
merata diselesaikan,1
diselesaikan pada,1
pada saat,32
saat yang,4
sama kompleksitas,1
kompleksitas waktu,1
waktu klasifikasi,2
klasifikasi knn,6
knn berkurang,1
berkurang parameter,1
parameter yang,4
yang sesuai,16
sesuai k,1
dan input,1
input ditentukan,1
oleh percobaan,1
percobaan perbandingan,1
perbandingan dan,1
dan efektivitas,2
efektivitas algoritma,1
ditingkatkan telah,1
telah diverifikasi,1
diverifikasi hasil,1
penelitian menunjukkan,12
sumber data,11
data ajar,1
ajar sd,1
sd dan,1
dan smp,1
smp berbasis,1
berbasis algoritma,2
knn layak,1
layak dan,2
dan efektifan,1
efektifan xu,1
2019 fast,1
fast density,2
density peak,2
peak clustering,2
clustering for,2
for large,2
large scale,3
scale data,2
data based,4
on knn,3
knn vantagepoint,1
vantagepoint tree,1
tree atau,1
atau vp,1
vp tree,1
tree sangat,1
sangat mirip,1
mirip dengan,5
dengan kd,1
kd tree,1
tree yang,2
yang memisahkan,1
memisahkan data,1
data dalam,9
dalam ruang,9
ruang metrik,1
metrik dengan,1
dengan memilih,1
memilih posisi,1
posisi dalam,1
ruang titik,1
titik pandang,1
pandang dan,1
dan membagi,1
membagi titik,1
titik data,1
menjadi dua,7
dua partisi,1
partisi yang,1
lebih dekat,1
dekat ke,1
ke vantage,1
vantage point,1
point daripada,1
daripada threshold,1
threshold dan,2
dan yang,10
tidak dengan,1
dengan berulang,1
berulang kali,1
kali menerapkan,1
menerapkan prosedur,1
prosedur ini,2
ini untuk,15
untuk mempartisi,1
mempartisi data,1
menjadi set,1
set yang,1
lebih kecil,7
kecil dan,2
dan lebih,10
kecil struktur,1
struktur data,2
data tree,1
tree dibuat,1
dibuat dimana,1
dimana neighbor,1
di tree,1
tree cenderung,1
cenderung menjadi,1
menjadi neighbor,1
ruang flann,1
flann adalah,1
adalah library,1
library untuk,1
untuk melakukan,49
melakukan fast,1
fast approximate,1
approximate nearest,1
ruang dimensi,1
dimensi tinggi,1
tinggi flann,1
flann berisi,1
berisi kumpulan,1
kumpulan algoritma,1
untuk pencarian,2
pencarian neighbor,1
neighbor terdekat,3
terdekat dan,1
dan sistem,25
sistem untuk,7
untuk secara,4
secara otomatis,9
otomatis memilih,1
memilih algoritma,1
algoritma terbaik,3
terbaik dan,1
dan parameter,1
parameter optimal,1
optimal tergantung,1
tergantung pada,11
pada kumpulan,2
data menggunakan,9
menggunakan cover,1
cover tree,1
tree untuk,2
untuk menerima,4
menerima knn,1
setiap titik,1
titik dan,1
dan knndensity,1
knndensity diusulkan,1
diusulkan untuk,1
untuk menggantikan,2
menggantikan kepadatan,1
kepadatan asli,1
asli yang,1
yang didefinisikan,2
didefinisikan dalam,1
dalam dpeak,1
dpeak yang,1
yang menghasilkan,11
menghasilkan peningkatan,1
peningkatan besar,1
besar untuk,3
untuk perhitungan,1
perhitungan kepadatany,1
kepadatany chen,1
chen et,2
2020 costsensitive,2
costsensitive knn,2
knn classification,2
classification metode,1
metode knn,4
untuk mengklasifikasikan,5
mengklasifikasikan big,1
big datama,1
datama and,1
and chi,1
chi 2022,2
2022 knn,2
knn pertama,1
pertama melakukan,1
melakukan kmeans,1
kmeans clustering,1
clustering untuk,1
untuk memisahkan,1
memisahkan seluruh,1
seluruh dataset,2
dataset menjadi,4
menjadi beberapa,6
beberapa bagian,1
bagian kemudian,1
kemudian setiap,1
setiap subset,1
subset diklasifikasikan,1
diklasifikasikan dengan,2
dengan metode,15
knn ktree,1
ktree dan,1
dan ktree,1
ktree untuk,1
untuk menggunakan,4
jumlah neighbor,1
berbeda untuk,4
metode ktree,2
ktree membutuhkan,1
membutuhkan cost,1
cost operasional,1
operasional yang,1
lebih sedikit,4
sedikit tetapi,1
tetapi mencapai,1
mencapai akurasi,6
akurasi klasifikasi,1
yang serupa,5
serupa dibandingkan,1
yang menetapkan,1
menetapkan nilai,2
k yang,3
untuk sampel,1
uji yang,3
berbeda metode,1
ktree adalah,1
adalah perpanjangan,3
perpanjangan dari,3
dari ktree,1
ktree yaitu,1
yaitu mempercepat,1
mempercepat tahap,1
tahap pengujiannya,1
pengujiannya dengan,1
dengan menyimpan,1
menyimpan informasi,1
informasi sampel,1
sampel pelatihan,3
di leaf,3
leaf node,3
node ktree,1
ktree seperti,1
seperti sampel,2
pelatihan yang,6
yang terletak,11
terletak di,11
node knn,1
knn mereka,1
mereka dan,8
dan neighbor,1
terdekat dari,2
knn membuat,1
membuat knn,1
menggunakan subset,1
subset sampel,1
node paper,1
ini menyajikan,3
menyajikan dua,1
dua pendekatan,2
pendekatan yaitu,1
yaitu pengklasifikasi,1
pengklasifikasi directcsknn,1
directcsknn dan,1
pengklasifikasi distance,1
distance csknn,1
csknn yang,1
yang bertujuan,19
untuk membuat,29
membuat klasifikasi,1
knn sensitive,1
sensitive terhadap,2
terhadap cost,1
cost sehingga,1
dapat meminimalkan,1
meminimalkan cost,1
cost kesalahan,1
klasifikasi untuk,1
untuk efisiensi,1
efisiensi beberapa,1
beberapa metode,1
metode yang,16
yang berguna,8
berguna termasuk,1
termasuk smoothing,1
smoothing pengaturan,1
pengaturan k,1
k dengan,1
dengan biaya,2
biaya minimum,1
minimum pemilihan,1
fitur cs,1
cs dan,1
dan cs,1
cs stacking,1
stacking secara,1
secara signifikan,16
signifikan digabungkan,1
digabungkan ke,1
ke pengklasifikasi,1
pengklasifikasi csknns,1
csknns zhang,1
zhang 2020,1
2020 machine,2
learning methods,2
methods for,2
for cyber,2
cyber security,10
security intrusion,2
intrusion detection,4
detection datasets,2
datasets and,3
and comparative,2
comparative study,2
study dalam,1
dalam studi,2
studi inikilincer,1
inikilincer ertam,1
ertam and,2
and sengur,1
sengur 2021,2
2021 peneliti,1
peneliti menggunakan,8
menggunakan metode,52
metode deep,5
deep learning,30
learning recurrent,1
recurrent neural,1
neural network,53
network rnn,1
rnn deep,1
deep neural,2
neural networks,9
networks dnn,1
dnn restricted,1
restricted boltzmann,1
boltzmann machines,2
machines rbm,1
rbm deep,1
deep belief,1
belief networks,1
networks dbn,1
dbn convoluted,1
convoluted neural,1
networks cnn,1
cnn deep,2
deep boltzmann,1
machines dbm,1
dbm dan,1
dan deep,1
deep autoencoders,1
autoencoders da,1
da telah,1
telah mengimplementasikannya,1
mengimplementasikannya pada,1
pada dataset,5
dataset cse,1
cse cicids2018,1
cicids2018 dan,1
dan botlot,1
botlot kemudian,1
kemudian keberhasilan,1
keberhasilan klasifikasi,1
klasifikasi deep,1
learning dan,2
dan waktu,3
klasifikasi dari,3
dari kumpulan,6
data ini,5
ini dibandingkan,1
dibandingkan pada,5
pada metode,1
learning diperiksa,1
diperiksa dan,1
dan dalam,8
dalam pengertian,3
pengertian ini,2
ini 35,1
35 set,1
data deteksi,1
deteksi serangan,2
serangan yang,2
dalam literature,1
literature dibagi,1
dalam kategori,6
kategori dataset,1
dataset csecicids,1
csecicids 2017,1
2017 karena,1
karena dataset,1
dataset yang,24
ada tidak,1
tidak memenuhi,2
memenuhi kebutuhan,14
kebutuhan deteksi,1
deteksi intrusi,2
intrusi saat,1
ini pengujian,1
pengujian environtment,2
environtment yang,1
yang terdiri,34
dari penyerang,1
penyerang dan,2
dan korban,3
korban jaringan,1
jaringan telah,1
telah disiapkan,1
disiapkan untuk,2
membuat kumpulan,1
di pengujian,1
environtment serangan,1
serangan seperti,1
seperti brute,1
brute force,2
force heartbleed,1
heartbleed attack,1
attack botnet,1
botnet dos,1
dos ddos,1
ddos web,1
web attack,1
attack infiltration,1
infiltration attack,1
attack diatur,1
diatur selain,1
itu kinerja,1
kinerja sistem,5
sistem dievaluasi,1
dievaluasi jurnal,1
40 136,1
136 menggunakan,1
metode machine,2
learning dengan,19
dengan perkembangan,9
perkembangan teknologi,18
teknologi pintar,1
pintar internet,1
internet digunakan,1
digunakan di,3
di setiap,6
setiap bidang,2
bidang kehidupan,3
kehidupan seharihari,25
seharihari dengan,2
dengan meluasnya,1
meluasnya penggunaan,1
penggunaan internet,5
internet jenis,1
jenis serangan,6
serangan berkembang,1
berkembang dari,3
dari hari,1
hari ke,1
ke hari,1
hari untuk,2
untuk mencegah,10
mencegah serangan,3
serangan serangan,1
serangan ini,2
ini harus,5
harus dideteksi,1
dideteksi terlebih,1
terlebih dahulu,6
dahulu dalam,2
ini sistem,1
sistem ids,1
ids telah,2
telah dikembangkan,6
dikembangkan untuk,6
mendeteksi lalu,1
lalu lintas,10
lintas serangan,1
serangan dan,8
dan set,1
data ids,1
telah dibuat,6
untuk mesimulasikan,1
mesimulasikan jenis,1
jenis seranganalemari,1
seranganalemari et,1
2022 khraisat,1
khraisat et,1
2019 internet,1
internet digital,2
digital economy,2
economy development,2
development forecast,2
forecast based,2
on artificial,4
artificial intelligence,53
intelligence and,7
and svm,1
svm knn,1
knn network,1
network detection,2
detection beberapa,1
penelitian mengusulkan,1
mengusulkan model,2
model pengelompokkan,1
pengelompokkan knn,1
knn berdasarkan,1
berdasarkan puncak,1
puncak kepadatan,1
kepadatan yang,1
dapat mendeteksi,2
serangan lebih,1
lebih efektif,8
efektif dan,9
dan memperkenalkan,1
memperkenalkan kepadatan,1
kepadatan ke,1
ke knn,1
knn proses,1
proses knn,1
tidak memerlukan,2
memerlukan banyak,1
banyak parameter,1
parameter dan,1
dan proses,9
proses iterative,1
iterative didasarkan,1
didasarkan pada,14
pada densitas,1
densitas literatur,1
literatur mengusulkan,1
model deteksi,1
intrusi vervis,1
vervis baru,1
baru dimana,1
mining baru,1
baru digabungkan,1
digabungkan yaitu,1
yaitu sebagai,3
sebagai alternatif,2
alternatif untuk,1
untuk jaring,1
jaring vervis,1
vervis menggunakan,1
algoritma berdasarkan,1
penelitian literature,3
literature terkait,1
klasifikasi svmknn,1
svmknn dan,1
dan algoritma,8
knn sesuai,1
dengan karakteristik,5
karakteristik klasifikasi,1
knn saat,2
ini dan,9
dan kombinasi,3
kombinasi keunggulan,1
keunggulan dari,2
knn berbobot,2
berbobot harmonik,2
harmonik dan,1
algoritma support,3
machine kombinasi,1
kombinasi dari,2
algoritma svm,3
dan knn,8
knn akan,1
akan digabungkan,1
digabungkan untuk,2
membangun sebuah,2
harmonik berbasis,1
berbasis svm,2
kinerja klasifikasi,4
kumpulan datafu,1
datafu zhou,1
zhou and,2
and mei,1
mei 2022,2
2022 comparison,1
comparison and,2
and analysis,2
analysis of,7
of logistic,2
logistic regression,31
regression naive,1
naive bayes,2
bayes and,2
and knn,4
knn machine,2
learning algorithms,4
algorithms for,3
for credit,2
credit card,2
card fraud,2
fraud detection,2
detection meneliti,1
meneliti dan,1
dan memeriksa,2
memeriksa penyajian,1
penyajian algoritma,1
algoritma pengklasifikasi,1
pengklasifikasi decision,1
decision tree,14
tree random,1
random forest,28
forest svm,1
dan logistic,4
regression metode,1
digunakan pada,12
pada informasi,1
informasi mentah,1
mentah dan,1
dan praditangani,1
praditangani dari,1
dari investigasi,1
investigasi yang,1
dilakukan didapatkan,2
didapatkan hasil,5
hasil bahwa,3
bahwa regresi,1
regresi logistik,16
logistik memiliki,1
memiliki ketepatan,1
ketepatan 977,1
977 sedangkan,1
sedangkan svm,1
svm menunjukkan,2
menunjukkan ketepatan,2
ketepatan 975,1
975 dan,1
dan decision,6
tree menunjukkan,1
ketepatan 955,1
955 namun,1
namun hasil,4
hasil terbaik,3
terbaik diperoleh,2
diperoleh dengan,1
dengan random,2
forest dengan,1
dengan presisi,1
presisi tepat,1
tepat 986,1
986 hasil,1
yang diperoleh,29
diperoleh karena,1
itu alasan,1
alasan bahwa,2
bahwa random,2
forest menunjukkan,2
paling tepat,1
tepat dan,7
dan tinggi,3
tinggi dari,6
dari 986,1
986 dalam,1
dalam masalah,1
masalah deteksi,2
deteksi penipuan,2
penipuan kartu,3
kartu kredit,11
kredit dengan,1
dengan dataset,2
oleh ulb,1
ulb memeriksa,1
memeriksa berbagai,2
berbagai pengklasifikasi,1
pengklasifikasi pembelajaran,1
pembelajaran mesin,4
mesin yang,4
yang dilatih,1
dilatih pada,1
data public,1
public untuk,1
untuk menganalisis,10
menganalisis korelasi,1
korelasi faktorfaktor,1
faktorfaktor tertentu,1
tertentu dengan,5
dengan penipuan,1
penipuan metrik,1
metrik yang,1
baik digunakan,1
menentukan tingkat,2
tingkat negatif,1
negatif palsu,1
palsu dan,15
dan kinerja,1
kinerja pengambilan,1
pengambilan sampel,6
sampel acak,2
acak diukur,1
diukur untuk,1
untuk menangani,4
menangani ketidakseimbangan,2
ketidakseimbangan kelas,1
kelas dari,1
kumpulan dataitoo,1
dataitoo meenakshi,1
meenakshi and,2
and singh,1
singh 2021,2
2021 svm,1
svm berkinerja,1
berkinerja lebih,1
baik untuk,8
mendeteksi penipuan,1
kredit dalam,1
dalam kondisi,3
kondisi yang,5
yang realistis,1
realistis perbandingan,1
perbandingan antara,2
antara model,1
model algoritma,2
algoritma pembelajaran,3
pembelajaran mendalam,1
mendalam dan,2
regresi dilakukan,1
dilakukan untuk,28
menentukan algoritma,1
algoritma dan,1
kombinasi faktor,1
faktor mana,1
mana yang,5
memberikan metode,1
metode paling,1
paling akurat,2
mengklasifikasikan transaksi,1
transaksi kartu,2
kredit sebagai,1
sebagai penipuan,2
penipuan atau,5
atau nonpenipuan,1
nonpenipuan algoritma,1
untuk analisis,3
analisis kumpulan,1
data dengan,26
dengan rasio,3
rasio transaksi,1
transaksi penipuan,1
penipuan dan,1
dan nonpenipuan,1
nonpenipuan mendekati,1
mendekati 11,1
11 adalah,1
adalah random,1
forest classifier,4
classifier dengan,1
dengan asumsi,2
asumsi distribusi,1
distribusi penipuan,1
penipuan ke,1
ke tidak,1
tidak penipuan,1
penipuan dari,1
dari set,1
pengujian dan,2
dan pelatihan,3
pelatihan adalah,1
adalah samaabidin,1
samaabidin et,1
2020 hamsa,1
hamsa et,1
2021 zhou,1
zhou et,1
2021 logistic,1
regression lr,1
lr menunjukkan,2
yang optimal,8
semua proporsi,1
proporsi data,1
data dibandingkan,1
dengan naïve,2
naïve bayes,16
bayes nb,1
nb dan,2
dan knearest,2
knn lr,2
lr berhasil,1
berhasil mendapatkan,1
mendapatkan akurasi,1
bayes dan,4
akurasi maksimum,1
maksimum 95,1
95 nb,1
nb menunjukkan,1
menunjukkan 91,1
91 dan,1
knn 75,1
75 teknik,1
teknik lr,1
lr juga,1
juga menunjukkan,5
menunjukkan sensivity,1
sensivity specificity,1
specificity precision,1
precision dan,1
dan fmeasure,1
fmeasure yang,1
baik dibandingkan,4
teknik nb,1
knn juga,2
juga telah,6
telah diamati,2
diamati bahwa,1
bahwa menjadi,1
menjadi teknik,1
teknik yang,9
yang diawasi,1
diawasi lr,1
lr dan,1
dan naïve,2
bayes menunjukkan,1
setiap kasus,2
kasus dibandingkan,2
teknik knn,1
tidak diawasi,1
diawasi jurnal,1
40 137,1
137 an,1
an enhanced,3
enhanced human,2
human speech,2
speech emotion,2
emotion recognition,3
recognition using,3
using hybrid,2
hybrid of,2
of prnn,2
prnn and,2
knn pengklasifikasi,1
knn berbasis,1
jarak ratarata,1
ratarata komprehensif,4
komprehensif melalui,1
melalui biaya,1
biaya rata,1
rata rata,6
rata multikomprehensif,1
multikomprehensif serta,1
serta bentangan,1
bentangan ratarata,2
komprehensif terstruktur,1
terstruktur yang,1
yang didasarkan,3
pada perwakilan,1
perwakilan ratarata,1
komprehensif diusulkan,1
diusulkan pada,2
tahun 2019,8
2019 dalam,2
diusulkan multilokal,1
multilokal vektor,1
vektor ratarata,2
ratarata dari,2
dari sampel,1
sampel kueri,1
kueri yang,1
diberikan di,1
setiap kelas,1
kelas dihitung,1
dihitung dengan,8
dengan mengadopsi,3
mengadopsi neighbor,1
neighbor k,1
nearest spesifik,1
spesifik kelasnya,1
kelasnya dengan,1
dengan diperoleh,1
diperoleh k,1
k vektor,1
ratarata lokal,1
lokal per,1
per kelas,1
kelas k,1
k ruang,1
ruang ratarata,1
ratarata umum,1
umum ditentukan,1
ditentukan dan,1
dan digunakan,2
dalam merancang,1
merancang bentangan,1
komprehensif nested,1
nested yang,1
yang pasti,2
pasti teknik,1
teknik ensemble,1
ensemble baru,1
baru untuk,5
untuk algoritma,2
juga diusulkan,1
2019 algoritma,1
algoritma ensemble,1
ensemble berbasis,1
berbasis gangguan,1
gangguan multimodal,1
multimodal yang,1
disebut reduced,1
reduced random,2
random subspacebases,1
subspacebases bagging,1
bagging rrsb,2
rrsb diusulkan,1
menghasilkan pengklasifikasi,2
pengklasifikasi komponen,2
komponen yang,4
yang akurat,3
akurat namun,2
namun beragam,2
beragam untuk,2
klasifikasi ensemble,2
ensemble nilai,1
k sistem,1
sistem rrsb,1
rrsb yang,2
diusulkan tampaknya,1
tampaknya lebih,2
lebih kuat,8
kuat daripada,1
daripada teknik,1
teknik lainnya,1
lainnya dalam,2
dalam teknik,1
diusulkan ini,1
ini pengenalan,1
pengenalan emosi,1
emosi ucapan,1
ucapan yang,1
ditingkatkan dilakukan,1
